N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
9.0,삼성SDI,526000.0,9000.0,-1.68%,5000.0,201241.0,302575.0,18080.0
10.0,기아,84200.0,300.0,-0.36%,5000.0,865590.0,737110.0,72331.0
11.0,NAVER,191800.0,1800.0,-0.93%,100.0,82201.0,338990.0,13047.0
12.0,포스코퓨처엠,348000.0,0.0,0.00%,500.0,33019.0,46375.0,1659.0
13.0,KB금융,56600.0,100.0,+0.18%,5000.0,888959.0,7011708.0,56389.0
14.0,현대모비스,232500.0,1500.0,-0.64%,5000.0,519063.0,554067.0,20265.0
15.0,셀트리온,143900.0,200.0,-0.14%,1000.0,22840.0,58917.0,6472.0
16.0,삼성물산,107800.0,100.0,-0.09%,100.0,431617.0,589815.0,25285.0
17.0,카카오,43200.0,450.0,-1.03%,100.0,71068.0,229635.0,5803.0
18.0,신한지주,35500.0,50.0,-0.14%,5000.0,354133.0,6758843.0,58881.0
19.0,LG전자,105100.0,900.0,-0.85%,5000.0,834673.0,551561.0,35510.0
20.0,SK이노베이션,147100.0,300.0,+0.20%,5000.0,780569.0,672189.0,39173.0
21.0,삼성생명,73100.0,900.0,+1.25%,500.0,403310.0,3161659.0,13866.0
22.0,LG,83100.0,1400.0,-1.66%,5000.0,71860.0,296337.0,19414.0
23.0,하나금융지주,43500.0,250.0,+0.58%,5000.0,708438.0,5688732.0,46903.0
24.0,삼성화재,258000.0,0.0,0.00%,500.0,257844.0,882243.0,16061.0
25.0,KT&G,87000.0,700.0,-0.80%,5000.0,58514.0,123017.0,12676.0
26.0,포스코인터내셔널,67400.0,500.0,-0.74%,5000.0,379896.0,125163.0,9025.0
27.0,SK,153500.0,5600.0,-3.52%,200.0,1345516.0,1945059.0,80047.0
28.0,한국전력,17480.0,30.0,-0.17%,5000.0,712579.0,2348050.0,-326552.0
29.0,메리츠금융지주,53500.0,0.0,0.00%,500.0,703656.0,927572.0,22009.0
30.0,카카오뱅크,23250.0,900.0,-3.73%,5000.0,16058.0,395161.0,3532.0
31.0,SK텔레콤,49150.0,50.0,+0.10%,100.0,173050.0,313083.0,16121.0
32.0,삼성에스디에스,135500.0,3100.0,-2.24%,500.0,172347.0,119524.0,9161.0
33.0,삼성전기,140000.0,400.0,-0.28%,5000.0,94246.0,109972.0,11828.0
34.0,하이브,244500.0,1500.0,-0.61%,500.0,17762.0,48704.0,2369.0
35.0,고려아연,484500.0,1000.0,+0.21%,5000.0,112194.0,120979.0,9192.0
36.0,HD현대중공업,113800.0,2500.0,-2.15%,5000.0,90455.0,162894.0,-2892.0
37.0,우리금융지주,12540.0,20.0,+0.16%,5000.0,423727.0,4804744.0,44305.0
38.0,기업은행,11750.0,170.0,+1.47%,5000.0,275361.0,4319797.0,37748.0
39.0,두산에너빌리티,14530.0,600.0,-3.97%,5000.0,154211.0,230498.0,11061.0
40.0,KT,32550.0,750.0,-2.25%,5000.0,256500.0,409807.0,16901.0
41.0,S-Oil,73900.0,400.0,+0.54%,2500.0,424460.0,196131.0,34052.0
42.0,크래프톤,154900.0,900.0,+0.58%,100.0,18540.0,60303.0,7516.0
43.0,대한항공,20150.0,450.0,-2.18%,5000.0,140961.0,289977.0,28306.0
44.0,HD한국조선해양,99900.0,2600.0,-2.54%,5000.0,173020.0,298835.0,-3556.0
45.0,HMM,14390.0,650.0,-4.32%,5000.0,185828.0,259735.0,99516.0
46.0,TIGER CD금리투자KIS(합성),53160.0,10.0,+0.02%,0.0,,,
47.0,금양,117000.0,1900.0,-1.60%,500.0,2131.0,2828.0,132.0
48.0,삼성중공업,7700.0,60.0,-0.77%,1000.0,59447.0,144917.0,-8544.0
49.0,아모레퍼시픽,114100.0,1300.0,+1.15%,500.0,41349.0,58018.0,2142.0
50.0,LG생활건강,420000.0,6000.0,-1.41%,5000.0,71858.0,73029.0,7111.0
51.0,현대글로비스,174000.0,1300.0,-0.74%,500.0,269819.0,138778.0,17985.0
52.0,SK바이오팜,81000.0,4200.0,-4.93%,500.0,2462.0,6642.0,-1311.0
53.0,SK스퀘어,44650.0,50.0,+0.11%,100.0,45107.0,221606.0,1628.0
54.0,DB손해보험,88700.0,0.0,0.00%,500.0,228608.0,644966.0,13331.0
55.0,한화오션,27700.0,1900.0,-6.42%,5000.0,48602.0,122357.0,-16136.0
56.0,롯데케미칼,136800.0,1400.0,-1.01%,5000.0,222761.0,267846.0,-7626.0
57.0,유한양행,76100.0,3400.0,-4.28%,1000.0,17758.0,24727.0,360.0
58.0,KODEX 200,32770.0,290.0,-0.88%,0.0,,,
59.0,삼성엔지니어링,28900.0,600.0,-2.03%,5000.0,100543.0,78487.0,7029.0
60.0,LG이노텍,238500.0,1000.0,-0.42%,5000.0,195894.0,97936.0,12718.0
61.0,한미반도체,57300.0,1600.0,+2.87%,100.0,3276.0,4554.0,1119.0
62.0,카카오페이,40650.0,450.0,-1.09%,500.0,5217.0,33315.0,-455.0
63.0,한화에어로스페이스,106000.0,1000.0,+0.95%,5000.0,65396.0,151573.0,3772.0
64.0,맥쿼리인프라,12270.0,100.0,+0.82%,0.0,,,
65.0,한화솔루션,30400.0,100.0,+0.33%,5000.0,136539.0,238317.0,9662.0
66.0,SK바이오사이언스,67300.0,1200.0,-1.75%,500.0,4567.0,21419.0,1150.0
67.0,두산밥캣,51000.0,1000.0,+2.00%,500.0,86219.0,92484.0,10716.0
68.0,오리온,127700.0,1500.0,+1.19%,500.0,28732.0,33717.0,4667.0
69.0,코스모신소재,164300.0,4100.0,-2.43%,1000.0,4856.0,4513.0,325.0
70.0,SK아이이테크놀로지,70600.0,600.0,-0.84%,1000.0,5858.0,34973.0,-523.0
71.0,한국항공우주,51400.0,800.0,+1.58%,5000.0,27869.0,77724.0,1416.0
72.0,엔씨소프트,225500.0,3000.0,-1.31%,500.0,25718.0,44376.0,5590.0
73.0,현대오토에버,176700.0,3400.0,-1.89%,500.0,27545.0,26194.0,1424.0
74.0,HD현대,60800.0,400.0,-0.65%,1000.0,608497.0,655709.0,33870.0
75.0,한국타이어앤테크놀로지,37100.0,350.0,-0.93%,500.0,83942.0,125814.0,7058.0
76.0,현대제철,33650.0,1650.0,-4.67%,5000.0,273406.0,368010.0,16165.0
77.0,LG유플러스,10230.0,50.0,-0.49%,5000.0,139060.0,197748.0,10813.0
78.0,LG디스플레이,12400.0,90.0,-0.72%,5000.0,261518.0,356860.0,-20850.0
79.0,CJ제일제당,279500.0,500.0,+0.18%,5000.0,300795.0,300132.0,16647.0
80.0,한온시스템,7820.0,1360.0,-14.81%,100.0,86277.0,90988.0,2566.0
81.0,현대건설,35750.0,900.0,-2.46%,5000.0,212391.0,209117.0,5749.0
82.0,F&F,103200.0,900.0,+0.88%,100.0,18089.0,15702.0,5249.0
83.0,한미약품,314500.0,5500.0,-1.72%,2500.0,13315.0,19246.0,1581.0
84.0,금호석유,129000.0,2100.0,-1.60%,5000.0,79756.0,77193.0,11477.0
85.0,현대차2우B,103300.0,400.0,-0.39%,5000.0,,,
86.0,GS,39700.0,50.0,-0.13%,5000.0,287770.0,339222.0,50051.0
87.0,미래에셋증권,6070.0,70.0,-1.14%,5000.0,191608.0,1062133.0,8356.0
88.0,KODEX KOFR금리액티브(합성),104560.0,25.0,+0.02%,0.0,,,
89.0,넷마블,42200.0,400.0,+0.96%,100.0,26734.0,89356.0,-1087.0
90.0,삼성카드,30950.0,100.0,-0.32%,5000.0,37946.0,296232.0,8489.0
91.0,NH투자증권,10550.0,50.0,-0.47%,5000.0,115357.0,534283.0,5214.0
92.0,삼성증권,37750.0,150.0,-0.40%,5000.0,134869.0,538483.0,5781.0
93.0,강원랜드,14950.0,240.0,-1.58%,500.0,12707.0,41678.0,2176.0
94.0,코웨이,42100.0,850.0,+2.06%,500.0,38561.0,43651.0,6774.0
95.0,KODEX CD금리액티브(합성),1014225.0,105.0,+0.01%,0.0,,,
96.0,현대로템,28150.0,350.0,-1.23%,5000.0,31633.0,48239.0,1475.0
97.0,한국금융지주,53800.0,400.0,-0.74%,5000.0,250281.0,863086.0,5458.0
98.0,현대해상,33500.0,250.0,+0.75%,500.0,203844.0,522276.0,8080.0
99.0,두산로보틱스,45750.0,2050.0,-4.29%,500.0,450.0,626.0,-132.0
100.0,현대미포조선,74000.0,1400.0,-1.86%,5000.0,37169.0,47482.0,-1091.0
101.0,LS,90600.0,4000.0,-4.23%,5000.0,174913.0,168140.0,6709.0
102.0,SKC,76500.0,900.0,+1.19%,5000.0,31389.0,63931.0,2203.0
103.0,한진칼,43000.0,0.0,0.00%,2500.0,2003.0,39151.0,145.0
104.0,농심,465000.0,1000.0,+0.22%,5000.0,31291.0,30347.0,1122.0
105.0,호텔신라,72000.0,900.0,-1.23%,5000.0,49220.0,29385.0,783.0
106.0,롯데지주,26450.0,250.0,-0.94%,200.0,141119.0,221754.0,4898.0
107.0,쌍용C&E,5460.0,40.0,-0.73%,100.0,19650.0,38743.0,2209.0
108.0,KODEX 종합채권(AA-이상)액티브,103640.0,325.0,-0.31%,0.0,,,
109.0,키움증권,102200.0,1900.0,-1.83%,5000.0,89424.0,480373.0,6564.0
110.0,HD현대일렉트릭,71600.0,900.0,+1.27%,5000.0,21045.0,24350.0,1330.0
111.0,LG화학우,333000.0,5000.0,-1.48%,5000.0,,,
112.0,LS ELECTRIC,84900.0,1400.0,-1.62%,5000.0,33771.0,33228.0,1875.0
113.0,한화생명,2915.0,85.0,+3.00%,5000.0,337014.0,1612355.0,7147.0
114.0,현대차우,102700.0,200.0,-0.19%,5000.0,,,
115.0,GS리테일,23500.0,450.0,+1.95%,1000.0,112264.0,98324.0,2451.0
116.0,한전기술,64300.0,1300.0,-1.98%,200.0,5053.0,8165.0,139.0
117.0,TIGER 미국나스닥100,91540.0,15.0,-0.02%,0.0,,,
118.0,TIGER 200,32815.0,265.0,-0.80%,0.0,,,
119.0,BGF리테일,139600.0,400.0,+0.29%,1000.0,76158.0,29462.0,2524.0
120.0,한화시스템,12760.0,190.0,+1.51%,5000.0,21880.0,39456.0,240.0
121.0,한미사이언스,34300.0,250.0,-0.72%,500.0,10461.0,11097.0,676.0
122.0,제일기획,20600.0,50.0,-0.24%,200.0,42534.0,27514.0,3114.0
123.0,CJ,79600.0,600.0,-0.75%,5000.0,409249.0,482404.0,21542.0
124.0,BNK금융지주,7150.0,10.0,+0.14%,5000.0,75756.0,1369664.0,11589.0
125.0,휠라홀딩스,37400.0,200.0,-0.53%,1000.0,42218.0,48218.0,4351.0
126.0,DB하이텍,51100.0,900.0,-1.73%,5000.0,16753.0,21227.0,7687.0
127.0,TIGER 차이나전기차SOLACTIVE,8720.0,135.0,-1.52%,0.0,,,
128.0,KODEX 레버리지,15510.0,290.0,-1.84%,0.0,,,
129.0,씨에스윈드,53200.0,900.0,-1.66%,500.0,13749.0,17795.0,421.0
130.0,삼아알미늄,151900.0,500.0,-0.33%,500.0,3121.0,2882.0,226.0
131.0,아모레G,27050.0,0.0,0.00%,500.0,44950.0,76510.0,2719.0
132.0,영풍제지,47700.0,250.0,+0.53%,500.0,1054.0,2037.0,78.0
133.0,TIGER KOFR금리액티브(합성),103115.0,30.0,+0.03%,0.0,,,
134.0,팬오션,4120.0,240.0,-5.50%,1000.0,64203.0,75489.0,7896.0
135.0,한국가스공사,23800.0,0.0,0.00%,5000.0,517243.0,624250.0,24634.0
136.0,영원무역,48750.0,750.0,-1.52%,500.0,39110.0,45136.0,8230.0
137.0,에스원,56600.0,200.0,-0.35%,500.0,24680.0,20757.0,2041.0
138.0,JB금융지주,10700.0,210.0,+2.00%,5000.0,31171.0,598282.0,8258.0
139.0,KCC,233500.0,3500.0,-1.48%,5000.0,67748.0,131185.0,4677.0
140.0,TIGER 미국S&P500,14720.0,15.0,-0.10%,0.0,,,
141.0,롯데쇼핑,70900.0,800.0,-1.12%,5000.0,154760.0,317036.0,3862.0
142.0,이마트,71300.0,300.0,-0.42%,5000.0,293324.0,332017.0,1357.0
143.0,LIG넥스원,89500.0,1500.0,+1.70%,5000.0,22208.0,30127.0,1791.0
144.0,OCI홀딩스,98900.0,2400.0,-2.37%,5000.0,46713.0,67455.0,9767.0
145.0,KODEX 23-12 은행채(AA+이상)액티브,10440.0,0.0,0.00%,0.0,,,
146.0,한솔케미칼,168700.0,2900.0,-1.69%,5000.0,8855.0,12533.0,1860.0
147.0,KODEX 200TR,11210.0,80.0,-0.71%,0.0,,,
148.0,HD현대인프라코어,9490.0,150.0,-1.56%,1000.0,47561.0,47367.0,3325.0
149.0,한올바이오파마,35950.0,2150.0,-5.64%,500.0,1100.0,2135.0,15.0
150.0,롯데에너지머티리얼즈,40250.0,800.0,-1.95%,500.0,7294.0,24303.0,848.0
151.0,이수페타시스,29100.0,350.0,-1.19%,1000.0,6429.0,5460.0,1166.0
152.0,TCC스틸,69100.0,200.0,+0.29%,1000.0,6844.0,5075.0,440.0
153.0,동서,18130.0,70.0,-0.38%,500.0,5565.0,16279.0,392.0
154.0,한화,24100.0,250.0,-1.03%,5000.0,622784.0,2111753.0,25161.0
155.0,현대엘리베이,46050.0,700.0,+1.54%,5000.0,21293.0,30145.0,430.0
156.0,CJ대한통운,78600.0,700.0,-0.88%,5000.0,121307.0,96933.0,4118.0
157.0,신세계,178900.0,100.0,+0.06%,5000.0,78128.0,143484.0,6454.0
158.0,HL만도,37250.0,3150.0,-7.80%,1000.0,75162.0,58458.0,2481.0
159.0,현대위아,62400.0,700.0,-1.11%,5000.0,82076.0,75465.0,2121.0
160.0,효성첨단소재,377000.0,7000.0,-1.82%,5000.0,38414.0,29347.0,3151.0
161.0,대우건설,4055.0,70.0,-1.70%,5000.0,104192.0,111404.0,7600.0
162.0,TIGER 미국테크TOP10 INDXX,14410.0,20.0,+0.14%,0.0,,,
163.0,KG모빌리티,8880.0,170.0,+1.95%,5000.0,34233.0,20019.0,-1120.0
164.0,효성중공업,175800.0,2300.0,+1.33%,5000.0,35101.0,46935.0,1432.0
165.0,KODEX 200선물인버스2X,2745.0,50.0,+1.86%,0.0,,,
166.0,TIGER 미국필라델피아반도체나스닥,12750.0,50.0,+0.39%,0.0,,,
167.0,한전KPS,34250.0,650.0,+1.93%,200.0,14291.0,15620.0,1306.0
168.0,TIGER TOP10,10970.0,80.0,-0.72%,0.0,,,
169.0,롯데정밀화학,58200.0,1000.0,-1.69%,5000.0,24638.0,27098.0,4043.0
170.0,솔루엠,29600.0,750.0,-2.47%,500.0,16945.0,10343.0,756.0
171.0,대한전선,11880.0,10.0,-0.08%,1000.0,24505.0,16203.0,482.0
172.0,오뚜기,368500.0,2000.0,-0.54%,5000.0,31833.0,35698.0,1857.0
173.0,SK가스,158500.0,2500.0,+1.60%,5000.0,80662.0,58318.0,3905.0
174.0,삼양식품,193900.0,1800.0,+0.94%,5000.0,9090.0,9249.0,904.0
175.0,두산,86700.0,3000.0,-3.34%,5000.0,169958.0,263154.0,11260.0
176.0,SK네트웍스,6030.0,120.0,+2.03%,2500.0,96664.0,94993.0,1542.0
177.0,에스엘,30450.0,1350.0,-4.25%,500.0,41745.0,29316.0,1979.0
178.0,코스모화학,40400.0,3000.0,-6.91%,1000.0,7182.0,8079.0,414.0
179.0,DGB금융지주,8240.0,30.0,-0.36%,5000.0,72746.0,910107.0,6072.0
180.0,동원산업,29850.0,100.0,-0.33%,1000.0,90263.0,70612.0,4944.0
181.0,KODEX 단기채권PLUS,108010.0,35.0,+0.03%,0.0,,,
182.0,하이트진로,19660.0,50.0,-0.25%,5000.0,24976.0,33334.0,1906.0
183.0,코스맥스,120000.0,8500.0,+7.62%,500.0,16001.0,13965.0,531.0
184.0,대웅제약,113900.0,3300.0,-2.82%,2500.0,12801.0,15633.0,958.0
185.0,에스디바이오센서,10500.0,30.0,-0.28%,500.0,29320.0,32619.0,11466.0
186.0,효성티앤씨,301500.0,9500.0,-3.05%,5000.0,88827.0,43199.0,1236.0
187.0,현대백화점,55400.0,200.0,+0.36%,5000.0,50141.0,120692.0,3209.0
188.0,LX세미콘,79100.0,5400.0,-6.39%,500.0,21193.0,12896.0,3106.0
189.0,TIGER 2차전지테마,28180.0,425.0,-1.49%,0.0,,,
190.0,코오롱인더,45900.0,450.0,-0.97%,5000.0,53675.0,60035.0,2425.0
191.0,KBSTAR 200,32965.0,280.0,-0.84%,0.0,,,
192.0,종근당,100000.0,100.0,+0.10%,2500.0,14883.0,11249.0,1099.0
193.0,대덕전자,25350.0,0.0,0.00%,500.0,13162.0,11918.0,2325.0
194.0,롯데칠성,134100.0,1300.0,+0.98%,500.0,28417.0,36959.0,2229.0
195.0,금호타이어,4325.0,50.0,-1.14%,5000.0,35592.0,46950.0,231.0
196.0,HD현대건설기계,63000.0,1800.0,-2.78%,5000.0,35156.0,34486.0,1706.0
197.0,효성,58900.0,1300.0,-2.16%,5000.0,37193.0,52673.0,649.0
198.0,녹십자,106000.0,3900.0,-3.55%,5000.0,17113.0,25255.0,813.0
199.0,코리안리,8670.0,190.0,+2.24%,500.0,125791.0,149781.0,1925.0
200.0,한샘,51000.0,400.0,-0.78%,1000.0,20009.0,10997.0,-217.0
201.0,두산퓨얼셀,18290.0,730.0,-3.84%,100.0,3121.0,10269.0,72.0
202.0,DL이앤씨,30450.0,550.0,-1.77%,5000.0,74968.0,89747.0,4970.0
203.0,덴티움,104000.0,1500.0,-1.42%,500.0,3559.0,6746.0,1257.0
204.0,KODEX 삼성그룹,8780.0,95.0,-1.07%,0.0,,,
205.0,한국콜마,49400.0,850.0,+1.75%,500.0,18657.0,29333.0,733.0
206.0,GS건설,13170.0,160.0,-1.20%,5000.0,122992.0,169466.0,5548.0
207.0,KODEX 2차전지산업,24470.0,310.0,-1.25%,0.0,,,
208.0,영원무역홀딩스,79800.0,300.0,+0.38%,500.0,45339.0,54902.0,10022.0
209.0,SK케미칼,61000.0,1500.0,-2.40%,5000.0,18292.0,39457.0,2305.0
210.0,한국앤컴퍼니,11040.0,40.0,+0.36%,500.0,10959.0,43018.0,2452.0
211.0,롯데웰푸드,110200.0,500.0,+0.46%,500.0,32033.0,41053.0,1124.0
212.0,SK오션플랜트,17440.0,380.0,-2.13%,500.0,6918.0,12200.0,719.0
213.0,LX인터내셔널,25750.0,750.0,-2.83%,5000.0,187595.0,77190.0,9655.0
214.0,이수스페셜티케미컬,177200.0,6900.0,-3.75%,5000.0,,,
215.0,후성,10500.0,300.0,-2.78%,500.0,6106.0,9338.0,1054.0
216.0,TIGER MSCI Korea TR,13855.0,90.0,-0.65%,0.0,,,
217.0,대웅,16850.0,610.0,-3.49%,500.0,16973.0,21589.0,2073.0
218.0,풍산,34800.0,50.0,+0.14%,5000.0,43730.0,33953.0,2316.0
219.0,롯데렌탈,26600.0,350.0,-1.30%,5000.0,27389.0,69272.0,3084.0
220.0,오리온홀딩스,15430.0,40.0,-0.26%,500.0,29346.0,51022.0,3998.0
221.0,해성디에스,56800.0,1000.0,+1.79%,5000.0,8394.0,6596.0,2044.0
222.0,KODEX 코스닥150레버리지,10225.0,365.0,-3.45%,0.0,,,
223.0,영풍,518000.0,1000.0,+0.19%,5000.0,44295.0,58719.0,689.0
224.0,KBSTAR 종합채권(A-이상)액티브,96115.0,330.0,-0.34%,0.0,,,
225.0,솔루스첨단소재,26850.0,500.0,-1.83%,100.0,4612.0,14610.0,-452.0
226.0,GKL,15190.0,100.0,-0.65%,500.0,2621.0,6095.0,-139.0
227.0,KODEX Top5PlusTR,18395.0,70.0,-0.38%,0.0,,,
228.0,명신산업,17480.0,330.0,-1.85%,500.0,15152.0,9293.0,1269.0
229.0,동원시스템즈,31450.0,450.0,-1.41%,5000.0,14370.0,14517.0,918.0
230.0,KBSTAR 머니마켓액티브,50910.0,5.0,+0.01%,0.0,,,
231.0,TKG휴켐스,21750.0,150.0,-0.68%,1000.0,12358.0,9414.0,1171.0
232.0,이노션,44450.0,200.0,-0.45%,500.0,17504.0,22901.0,1369.0
233.0,드림텍,13360.0,190.0,+1.44%,100.0,13686.0,8254.0,967.0
234.0,KODEX 단기채권,107330.0,25.0,+0.02%,0.0,,,
235.0,대한유화,135000.0,5600.0,-3.98%,5000.0,22221.0,21958.0,-2146.0
236.0,한일시멘트,12520.0,170.0,-1.34%,500.0,14876.0,24608.0,1180.0
237.0,아이에스동서,27700.0,550.0,-1.95%,500.0,22784.0,37378.0,3451.0
238.0,롯데손해보험,2750.0,100.0,-3.51%,1000.0,36130.0,179258.0,-765.0
239.0,DL,40650.0,950.0,-2.28%,5000.0,51750.0,120190.0,2875.0
240.0,다우기술,18400.0,150.0,+0.82%,500.0,92106.0,492600.0,7187.0
241.0,미래에셋생명,4655.0,0.0,0.00%,5000.0,33663.0,372500.0,880.0
242.0,더존비즈온,27100.0,650.0,-2.34%,500.0,3043.0,8329.0,455.0
243.0,JW중외제약,35900.0,1450.0,-3.88%,2500.0,6844.0,6280.0,630.0
244.0,SK리츠,4160.0,85.0,-2.00%,500.0,305.0,31176.0,225.0
245.0,세아제강지주,196700.0,5800.0,-2.86%,5000.0,39538.0,35721.0,5672.0
246.0,세아베스틸지주,22700.0,300.0,-1.30%,5000.0,43863.0,38184.0,1279.0
247.0,LG전자우,47000.0,300.0,-0.63%,5000.0,,,
248.0,율촌화학,32400.0,350.0,+1.09%,500.0,5089.0,6531.0,-46.0
249.0,OCI,108000.0,2400.0,-2.17%,5000.0,,,
250.0,TIGER 200 IT,30670.0,220.0,-0.71%,0.0,,,
251.0,제이알글로벌리츠,4035.0,5.0,+0.12%,1000.0,573.0,20568.0,328.0
252.0,제주항공,10340.0,280.0,-2.64%,1000.0,7025.0,16636.0,-1775.0
253.0,동양생명,4920.0,55.0,-1.11%,5000.0,102796.0,374202.0,1299.0
254.0,미원상사,163000.0,100.0,+0.06%,500.0,4382.0,4156.0,770.0
255.0,SK디스커버리,41500.0,100.0,+0.24%,5000.0,87171.0,117801.0,3622.0
256.0,롯데관광개발,10450.0,440.0,-4.04%,500.0,1837.0,18028.0,-1187.0
257.0,DN오토모티브,78600.0,2100.0,-2.60%,500.0,31564.0,45916.0,4215.0
258.0,세방전지,55800.0,800.0,-1.41%,500.0,14731.0,16770.0,811.0
259.0,PI첨단소재,26500.0,950.0,-3.46%,500.0,2764.0,4990.0,521.0
260.0,NHN,22100.0,400.0,-1.78%,500.0,21149.0,30252.0,391.0
261.0,한세실업,19280.0,220.0,-1.13%,500.0,22048.0,12392.0,1796.0
262.0,일진하이솔루스,21050.0,750.0,-3.44%,500.0,1091.0,3425.0,28.0
